2025-11-30 23:05:10,619 | INFO | [GENERATOR] Gemini model loaded: gemini-1.5-flash
2025-11-30 23:05:10,646 | INFO | [SYSTEM] ECHOFORM ENGINE STARTED
2025-11-30 23:05:10,654 | INFO | [SYSTEM] Session ID: db731c4c-caa4-4cfe-bbec-0e8c2c644871
2025-11-30 23:05:10,656 | INFO | [SYSTEM] Gemini Enabled: True
2025-11-30 23:05:16,669 | INFO | [USER] hi there
2025-11-30 23:05:16,686 | INFO | [AGENT] Generator invoked
2025-11-30 23:05:16,689 | INFO | [GENERATOR] Gemini request attempt 1
2025-11-30 23:05:19,301 | WARNING | [GENERATOR] Gemini attempt failed: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-30 23:05:20,302 | INFO | [GENERATOR] Gemini request attempt 2
2025-11-30 23:05:20,666 | WARNING | [GENERATOR] Gemini attempt failed: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-30 23:05:21,667 | ERROR | [GENERATOR] All Gemini attempts failed. Fallback engaged.
2025-11-30 23:05:21,667 | INFO | [AGENT] Observer invoked
2025-11-30 23:05:21,667 | INFO | [AGENT] Compressor invoked
2025-11-30 23:05:21,683 | INFO | [AGENT] Evaluator invoked
2025-11-30 23:05:21,695 | INFO | [AGENT] Mutator invoked
2025-11-30 23:05:21,728 | INFO | [EVAL] {'accuracy': 0.85, 'clarity': 0.6, 'depth': 0.46, 'originality': 0.66, 'overall': 0.67}
2025-11-30 23:05:21,729 | INFO | [MUTATION] {'creativity': 0.5, 'abstraction': 0.5, 'verbosity': 0.5, 'formality': 0.55}
2025-11-30 23:05:29,241 | INFO | [USER] hi
2025-11-30 23:05:29,253 | INFO | [AGENT] Generator invoked
2025-11-30 23:05:29,253 | INFO | [GENERATOR] Gemini request attempt 1
2025-11-30 23:05:29,405 | WARNING | [GENERATOR] Gemini attempt failed: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-30 23:05:30,406 | INFO | [GENERATOR] Gemini request attempt 2
2025-11-30 23:05:30,624 | WARNING | [GENERATOR] Gemini attempt failed: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-30 23:05:31,626 | ERROR | [GENERATOR] All Gemini attempts failed. Fallback engaged.
2025-11-30 23:05:31,626 | INFO | [AGENT] Observer invoked
2025-11-30 23:05:31,626 | INFO | [AGENT] Compressor invoked
2025-11-30 23:05:31,635 | INFO | [AGENT] Evaluator invoked
2025-11-30 23:05:31,643 | INFO | [AGENT] Mutator invoked
